step 0: train loss 4.4501, val loss 4.4402
iter 274: loss 2.3520, time 227.27ms, mfu 107.96%
iter 275: loss 2.3728, time 226.17ms, mfu 108.02%
iter 276: loss 2.3222, time 227.31ms, mfu 108.02%
iter 277: loss 2.2908, time 227.66ms, mfu 108.00%
iter 278: loss 2.3337, time 226.82ms, mfu 108.02%
iter 279: loss 2.3832, time 227.10ms, mfu 108.03%
iter 280: loss 2.3299, time 225.98ms, mfu 108.09%
iter 281: loss 2.3581, time 228.81ms, mfu 108.01%
iter 282: loss 2.3294, time 227.56ms, mfu 107.99%
iter 283: loss 2.3437, time 230.45ms, mfu 107.85%
iter 284: loss 2.3381, time 223.73ms, mfu 108.03%
iter 285: loss 2.3427, time 226.98ms, mfu 108.04%
iter 286: loss 2.3692, time 226.09ms, mfu 108.10%
iter 287: loss 2.3368, time 228.04ms, mfu 108.05%
iter 288: loss 2.3173, time 227.24ms, mfu 108.05%
iter 289: loss 2.3380, time 227.87ms, mfu 108.02%
iter 290: loss 2.3453, time 226.05ms, mfu 108.07%
iter 291: loss 2.3169, time 226.79ms, mfu 108.09%
iter 292: loss 2.3152, time 228.34ms, mfu 108.03%
iter 293: loss 2.3275, time 227.85ms, mfu 108.00%
iter 294: loss 2.2951, time 227.75ms, mfu 107.98%
iter 295: loss 2.3609, time 226.92ms, mfu 108.00%
iter 296: loss 2.3126, time 226.33ms, mfu 108.05%
iter 297: loss 2.3191, time 228.43ms, mfu 107.99%
iter 298: loss 2.2844, time 228.00ms, mfu 107.95%
iter 299: loss 2.2973, time 225.79ms, mfu 108.03%
iter 300: loss 2.3414, time 228.52ms, mfu 107.97%
iter 301: loss 2.2925, time 226.92ms, mfu 107.99%
iter 302: loss 2.3052, time 227.00ms, mfu 108.00%
iter 303: loss 2.3083, time 228.19ms, mfu 107.96%
iter 304: loss 2.2870, time 227.39ms, mfu 107.96%
iter 305: loss 2.2990, time 227.73ms, mfu 107.94%
iter 306: loss 2.2827, time 226.09ms, mfu 108.01%
iter 307: loss 2.2451, time 226.19ms, mfu 108.06%
iter 308: loss 2.2899, time 227.92ms, mfu 108.02%
iter 309: loss 2.2993, time 228.35ms, mfu 107.97%
iter 310: loss 2.2705, time 227.43ms, mfu 107.97%
iter 311: loss 2.2536, time 227.92ms, mfu 107.94%
iter 312: loss 2.3070, time 226.94ms, mfu 107.96%
iter 313: loss 2.2718, time 228.31ms, mfu 107.92%
iter 314: loss 2.2569, time 226.66ms, mfu 107.96%
iter 315: loss 2.2505, time 227.80ms, mfu 107.94%
iter 316: loss 2.2410, time 228.93ms, mfu 107.86%
iter 317: loss 2.2536, time 227.25ms, mfu 107.88%
iter 318: loss 2.2562, time 226.59ms, mfu 107.93%
iter 319: loss 2.2540, time 228.68ms, mfu 107.87%
iter 320: loss 2.2155, time 225.36ms, mfu 107.97%
iter 321: loss 2.2793, time 228.55ms, mfu 107.92%
iter 322: loss 2.2243, time 227.30ms, mfu 107.92%
iter 323: loss 2.2005, time 227.14ms, mfu 107.94%
iter 324: loss 2.2437, time 226.75ms, mfu 107.97%
iter 325: loss 2.2214, time 228.03ms, mfu 107.94%
iter 326: loss 2.2092, time 228.13ms, mfu 107.90%
iter 327: loss 2.2550, time 228.06ms, mfu 107.88%
iter 328: loss 2.2554, time 227.04ms, mfu 107.90%
iter 329: loss 2.1743, time 229.87ms, mfu 107.79%
iter 330: loss 2.2651, time 226.85ms, mfu 107.83%
iter 331: loss 2.1928, time 227.18ms, mfu 107.85%
iter 332: loss 2.1944, time 227.36ms, mfu 107.87%
iter 333: loss 2.2214, time 225.61ms, mfu 107.96%
iter 334: loss 2.2134, time 229.19ms, mfu 107.87%
iter 335: loss 2.2163, time 227.02ms, mfu 107.90%
iter 336: loss 2.1778, time 226.91ms, mfu 107.93%
iter 337: loss 2.1863, time 227.35ms, mfu 107.93%
iter 338: loss 2.2268, time 227.14ms, mfu 107.95%
iter 339: loss 2.2295, time 227.68ms, mfu 107.93%
iter 340: loss 2.1906, time 227.56ms, mfu 107.93%
iter 341: loss 2.1786, time 227.65ms, mfu 107.92%
iter 342: loss 2.1898, time 226.12ms, mfu 107.98%
iter 343: loss 2.1819, time 228.58ms, mfu 107.92%
iter 344: loss 2.2147, time 227.82ms, mfu 107.90%
iter 345: loss 2.1787, time 229.48ms, mfu 107.81%
iter 346: loss 2.1756, time 227.74ms, mfu 107.81%
iter 347: loss 2.1920, time 227.12ms, mfu 107.84%
iter 348: loss 2.1547, time 226.70ms, mfu 107.88%
iter 349: loss 2.2281, time 228.65ms, mfu 107.83%
iter 350: loss 2.1595, time 228.70ms, mfu 107.78%
iter 351: loss 2.1570, time 227.63ms, mfu 107.78%
iter 352: loss 2.1512, time 226.78ms, mfu 107.83%
iter 353: loss 2.1431, time 229.46ms, mfu 107.75%
iter 354: loss 2.1267, time 226.66ms, mfu 107.80%
iter 355: loss 2.1586, time 229.02ms, mfu 107.74%
iter 356: loss 2.1217, time 228.06ms, mfu 107.73%
iter 357: loss 2.1341, time 226.50ms, mfu 107.79%
iter 358: loss 2.1288, time 228.56ms, mfu 107.75%
iter 359: loss 2.1930, time 227.32ms, mfu 107.78%
iter 360: loss 2.1087, time 228.08ms, mfu 107.76%
iter 361: loss 2.1275, time 226.68ms, mfu 107.81%
iter 362: loss 2.0920, time 228.64ms, mfu 107.77%
iter 363: loss 2.1029, time 230.51ms, mfu 107.64%
iter 364: loss 2.1293, time 226.01ms, mfu 107.74%
iter 365: loss 2.0881, time 228.08ms, mfu 107.73%
iter 366: loss 2.1408, time 227.22ms, mfu 107.76%
iter 367: loss 2.0807, time 229.01ms, mfu 107.70%
iter 368: loss 2.0898, time 229.39ms, mfu 107.63%
iter 369: loss 2.1111, time 229.50ms, mfu 107.56%
iter 370: loss 2.1374, time 227.04ms, mfu 107.62%
iter 371: loss 2.1232, time 226.95ms, mfu 107.67%
iter 372: loss 2.1244, time 225.93ms, mfu 107.77%
iter 373: loss 2.1367, time 230.13ms, mfu 107.66%
iter 374: loss 2.0770, time 225.94ms, mfu 107.76%
iter 375: loss 2.0677, time 227.37ms, mfu 107.78%
iter 376: loss 2.0935, time 228.44ms, mfu 107.75%
iter 377: loss 2.0953, time 228.36ms, mfu 107.72%
iter 378: loss 2.0723, time 227.64ms, mfu 107.73%
iter 379: loss 2.1555, time 227.75ms, mfu 107.74%
iter 380: loss 2.0481, time 227.90ms, mfu 107.74%
iter 381: loss 2.1089, time 227.58ms, mfu 107.75%
iter 382: loss 2.0596, time 228.06ms, mfu 107.74%
iter 383: loss 2.1060, time 229.14ms, mfu 107.68%
iter 384: loss 2.0892, time 228.01ms, mfu 107.67%
iter 385: loss 2.0628, time 228.04ms, mfu 107.67%
iter 386: loss 2.0706, time 228.72ms, mfu 107.64%
iter 387: loss 2.0982, time 228.86ms, mfu 107.60%
iter 388: loss 2.0762, time 226.99ms, mfu 107.65%
iter 389: loss 2.0182, time 228.15ms, mfu 107.65%
iter 390: loss 2.0551, time 226.74ms, mfu 107.71%
iter 391: loss 2.0373, time 229.52ms, mfu 107.63%
iter 392: loss 2.0648, time 228.48ms, mfu 107.61%
iter 393: loss 2.0648, time 228.13ms, mfu 107.61%
iter 394: loss 2.0574, time 228.52ms, mfu 107.59%
iter 395: loss 2.0772, time 226.83ms, mfu 107.65%
iter 396: loss 2.0386, time 227.17ms, mfu 107.70%
iter 397: loss 2.0254, time 227.67ms, mfu 107.71%
iter 398: loss 2.0792, time 229.23ms, mfu 107.65%
iter 399: loss 2.0518, time 226.95ms, mfu 107.70%
step 400: train loss 2.0287, val loss 2.1387
saving checkpoint to out
iter 400: loss 2.0691, time 6660.11ms, mfu 97.30%
iter 401: loss 1.9980, time 223.72ms, mfu 98.54%
iter 402: loss 2.0513, time 223.54ms, mfu 99.67%
iter 403: loss 2.0543, time 225.97ms, mfu 100.56%
iter 404: loss 2.0514, time 231.16ms, mfu 101.12%
iter 405: loss 2.0094, time 224.91ms, mfu 101.93%
iter 406: loss 2.0086, time 229.13ms, mfu 102.45%
iter 407: loss 1.9876, time 228.07ms, mfu 102.96%
iter 408: loss 1.9806, time 229.47ms, mfu 103.37%
iter 409: loss 2.0270, time 226.59ms, mfu 103.86%
iter 410: loss 2.0083, time 229.00ms, mfu 104.20%
iter 411: loss 1.9808, time 226.66ms, mfu 104.61%
iter 412: loss 1.9666, time 228.40ms, mfu 104.89%
iter 413: loss 1.9736, time 227.95ms, mfu 105.17%
iter 414: loss 2.0126, time 226.08ms, mfu 105.51%
iter 415: loss 1.9772, time 228.18ms, mfu 105.72%
iter 416: loss 1.9697, time 228.79ms, mfu 105.88%
iter 417: loss 1.9833, time 226.56ms, mfu 106.12%
iter 418: loss 2.0087, time 226.88ms, mfu 106.33%
iter 419: loss 1.9837, time 227.98ms, mfu 106.47%
iter 420: loss 1.9826, time 226.72ms, mfu 106.65%
iter 421: loss 1.9751, time 227.98ms, mfu 106.75%
iter 422: loss 1.9404, time 227.96ms, mfu 106.84%
iter 423: loss 1.9205, time 225.83ms, mfu 107.03%
iter 424: loss 1.9603, time 228.01ms, mfu 107.09%
iter 425: loss 1.9763, time 229.36ms, mfu 107.08%
iter 426: loss 1.9662, time 224.73ms, mfu 107.30%
iter 427: loss 1.9390, time 227.59ms, mfu 107.35%
iter 428: loss 1.9704, time 227.36ms, mfu 107.42%
iter 429: loss 1.9406, time 229.46ms, mfu 107.37%
iter 430: loss 1.9194, time 225.65ms, mfu 107.51%
iter 431: loss 1.9185, time 227.88ms, mfu 107.53%
iter 432: loss 1.8959, time 225.61ms, mfu 107.66%
iter 433: loss 1.9245, time 227.80ms, mfu 107.67%
iter 434: loss 1.9121, time 226.67ms, mfu 107.73%
iter 435: loss 1.8678, time 227.89ms, mfu 107.73%
iter 436: loss 1.8829, time 226.96ms, mfu 107.77%
iter 437: loss 1.8572, time 226.63ms, mfu 107.83%
iter 438: loss 1.8741, time 228.92ms, mfu 107.77%
iter 439: loss 1.9133, time 227.85ms, mfu 107.76%
iter 440: loss 1.8958, time 226.88ms, mfu 107.81%
iter 441: loss 1.8809, time 227.42ms, mfu 107.82%
iter 442: loss 1.9118, time 227.09ms, mfu 107.85%
iter 443: loss 1.8968, time 227.43ms, mfu 107.86%
iter 444: loss 1.9107, time 226.56ms, mfu 107.91%
iter 445: loss 1.8621, time 230.02ms, mfu 107.79%
iter 446: loss 1.8662, time 226.64ms, mfu 107.84%
iter 447: loss 1.8433, time 225.64ms, mfu 107.93%
iter 448: loss 1.9263, time 228.40ms, mfu 107.89%
iter 449: loss 1.8773, time 227.13ms, mfu 107.91%
iter 450: loss 1.8850, time 226.81ms, mfu 107.94%
iter 451: loss 1.8841, time 228.33ms, mfu 107.90%
iter 452: loss 1.8501, time 225.39ms, mfu 108.00%
iter 453: loss 1.7943, time 228.80ms, mfu 107.93%
iter 454: loss 1.8555, time 227.53ms, mfu 107.92%
iter 455: loss 1.8622, time 225.26ms, mfu 108.03%
iter 456: loss 1.8819, time 227.38ms, mfu 108.02%
iter 457: loss 1.8421, time 227.54ms, mfu 108.01%
iter 458: loss 1.8326, time 226.91ms, mfu 108.02%
iter 459: loss 1.8225, time 228.27ms, mfu 107.97%
iter 460: loss 1.8171, time 226.92ms, mfu 108.00%
