step 0: train loss 10.9886, val loss 10.9897
iter 290: loss 5.9884, time 309.77ms, mfu 108.35%
iter 291: loss 6.2918, time 310.50ms, mfu 108.36%
iter 292: loss 6.4525, time 311.02ms, mfu 108.35%
iter 293: loss 6.2462, time 309.65ms, mfu 108.38%
iter 294: loss 6.0819, time 311.16ms, mfu 108.36%
iter 295: loss 6.1541, time 312.92ms, mfu 108.29%
iter 296: loss 6.1472, time 311.35ms, mfu 108.27%
iter 297: loss 6.4705, time 311.29ms, mfu 108.26%
iter 298: loss 6.0445, time 311.63ms, mfu 108.23%
iter 299: loss 5.9915, time 310.34ms, mfu 108.26%
iter 300: loss 6.2387, time 310.59ms, mfu 108.27%
iter 301: loss 6.1699, time 310.11ms, mfu 108.30%
iter 302: loss 6.2484, time 309.83ms, mfu 108.34%
iter 303: loss 5.9832, time 310.65ms, mfu 108.34%
iter 304: loss 6.0100, time 311.14ms, mfu 108.32%
iter 305: loss 6.4222, time 310.07ms, mfu 108.35%
iter 306: loss 5.9933, time 314.36ms, mfu 108.22%
iter 307: loss 6.0738, time 311.23ms, mfu 108.22%
iter 308: loss 6.3260, time 310.63ms, mfu 108.23%
iter 309: loss 6.2659, time 310.28ms, mfu 108.26%
iter 310: loss 6.1815, time 310.17ms, mfu 108.29%
iter 311: loss 6.1137, time 311.45ms, mfu 108.27%
iter 312: loss 6.1883, time 309.92ms, mfu 108.30%
iter 313: loss 6.0539, time 309.91ms, mfu 108.34%
iter 314: loss 6.1108, time 312.13ms, mfu 108.29%
iter 315: loss 6.3426, time 311.44ms, mfu 108.27%
iter 316: loss 6.2389, time 312.81ms, mfu 108.20%
iter 317: loss 6.2862, time 311.38ms, mfu 108.20%
iter 318: loss 6.1149, time 311.60ms, mfu 108.18%
iter 319: loss 5.9177, time 310.56ms, mfu 108.20%
iter 320: loss 6.1741, time 310.75ms, mfu 108.21%
iter 321: loss 5.9825, time 309.83ms, mfu 108.26%
iter 322: loss 6.1978, time 311.15ms, mfu 108.25%
iter 323: loss 6.0139, time 312.77ms, mfu 108.19%
iter 324: loss 6.1228, time 312.18ms, mfu 108.16%
iter 325: loss 6.0689, time 312.08ms, mfu 108.13%
iter 326: loss 6.1887, time 310.84ms, mfu 108.14%
iter 327: loss 6.2748, time 310.99ms, mfu 108.16%
iter 328: loss 6.2728, time 310.48ms, mfu 108.18%
iter 329: loss 6.0104, time 310.84ms, mfu 108.19%
iter 330: loss 6.2608, time 310.48ms, mfu 108.22%
iter 331: loss 6.0300, time 313.26ms, mfu 108.14%
iter 332: loss 6.2656, time 312.07ms, mfu 108.12%
iter 333: loss 5.7722, time 311.26ms, mfu 108.12%
iter 334: loss 6.0039, time 311.22ms, mfu 108.13%
iter 335: loss 6.1289, time 310.60ms, mfu 108.15%
iter 336: loss 6.0568, time 311.47ms, mfu 108.14%
iter 337: loss 6.1098, time 309.43ms, mfu 108.21%
iter 338: loss 5.9905, time 314.37ms, mfu 108.10%
iter 339: loss 6.2023, time 312.04ms, mfu 108.08%
iter 340: loss 6.1412, time 310.56ms, mfu 108.11%
